railway,station,x,y,tokyo
駿豆線,三島,-84095,-96587,99562
駿豆線,大仁,-81781,-111197,107599
駿豆線,韮山,-80987,-104667,102479
駿豆線,牧之郷,-80238,-111822,106968
駿豆線,伊豆長岡,-80819,-106164,103385
駿豆線,三島二日町,-82715,-98245,99534
駿豆線,原木,-81140,-103311,101672
駿豆線,大場,-81508,-100345,99973
駿豆線,三島田町,-83387,-97661,99683
駿豆線,田京,-81002,-108962,105468
駿豆線,伊豆仁田,-81322,-101838,100820
駿豆線,三島広小路,-84048,-97310,99976
大雄山線,穴部,-62272,-79678,71957
大雄山線,和田河原,-65024,-75655,71758
大雄山線,小田原,-61587,-82285,73092
大雄山線,岩原,-64074,-77561,72095
大雄山線,大雄山,-66340,-75302,72646
大雄山線,井細田,-61496,-80891,72123
大雄山線,緑町,-61393,-81968,72739
大雄山線,相模沼田,-63615,-78283,72161
大雄山線,五百羅漢,-61659,-80203,71810
大雄山線,塚原,-64262,-77280,72081
大雄山線,飯田岡,-63126,-78779,72074
大雄山線,富士フイルム前,-65814,-75454,72296
横河原線,いよ立花,-654151,-218448,673612
横河原線,久米,-651357,-219936,671333
横河原線,福音寺,-652711,-219139,672416
横河原線,横河原,-644007,-221869,664813
横河原線,牛渕,-646673,-222606,667578
横河原線,愛大医学部南口,-644536,-222428,665478
横河原線,牛渕団地前,-647575,-222265,668348
横河原線,平井,-649124,-220930,669462
横河原線,田窪,-645804,-222939,666838
横河原線,鷹ノ子,-650333,-220421,670482
横河原線,松山市,-655122,-217509,674291
横河原線,石手川公園,-654461,-218037,673798
横河原線,北久米,-651828,-219564,671683
横河原線,見奈良,-645065,-222957,666135
横河原線,梅本,-648220,-221829,668845
花園線,南堀端,-655148,-217082,674200
花園線,松山市駅前,-655025,-217462,674184
郡中線,松山市,-655122,-217509,674291
郡中線,余戸,-657865,-219485,677468
郡中線,土橋,-655693,-217839,674930
郡中線,岡田,-658883,-221324,678951
郡中線,鎌田,-658284,-220141,678050
郡中線,古泉,-659608,-222021,679839
郡中線,土居田,-656858,-218678,676279
郡中線,松前,-660784,-222674,681149
郡中線,地蔵町,-660891,-223326,681433
郡中線,郡中,-661058,-225472,682190
郡中線,郡中港,-661278,-225947,682534
郡中線,新川,-660946,-224199,681727
高浜線,古町,-655670,-216204,674466
高浜線,松山市,-655122,-217509,674291
高浜線,大手町,-655705,-217009,674716
高浜線,西衣山,-657592,-215690,676180
高浜線,衣山,-656651,-215524,675228
高浜線,三津,-658793,-214109,676916
高浜線,山西,-658465,-215042,676848
高浜線,梅津寺,-659853,-212823,677599
高浜線,高浜,-660289,-211806,677753
高浜線,港山,-659357,-213422,677278
城南線,本町1丁目,-655380,-216919,674379
城南線,市役所前,-654831,-217046,673885
城南線,南町,-653392,-216314,672302
城南線,大街道,-654353,-216934,673395
城南線,道後温泉,-652856,-216020,671706
城南線,勝山町,-653871,-216912,672925
城南線,南堀端,-655148,-217082,674200
城南線,上一万,-653775,-216353,672681
城南線,道後公園,-652880,-216244,671790
城南線,平和通1丁目,-653860,-216246,672734
城南線,警察署前,-653799,-216596,672769
城南線,県庁前,-654662,-216922,673689
城北線,平和通1丁目,-653860,-216246,672734
城北線,木屋町,-655066,-215524,673701
城北線,鉄砲町,-654369,-216147,673197
城北線,高砂町,-654947,-215720,673640
城北線,萱町6丁目,-655520,-215677,674180
城北線,古町,-655670,-216204,674466
城北線,赤十字病院前,-654049,-216188,672900
城北線,清水町,-654794,-216011,673570
城北線,本町6丁目,-655321,-215503,673941
大手町線,古町,-655670,-216204,674466
大手町線,大手町,-655678,-216947,674674
大手町線,松山駅前,-655965,-216881,674933
大手町線,宮田町,-655916,-216528,674790
大手町線,西堀端,-655436,-216966,674445
本町線,本町1丁目,-655380,-216919,674379
本町線,本町5丁目,-655293,-215801,673994
本町線,本町4丁目,-655316,-216107,674099
本町線,本町6丁目,-655267,-215543,673900
本町線,本町3丁目,-655342,-216433,674211
井原線,総社,-558932,-130129,561026
井原線,清音,-559562,-133453,562222
井原線,神辺,-592922,-143265,596798
井原線,御領,-590557,-140369,593950
井原線,いずえ,-585944,-138070,589004
井原線,吉備真備,-563487,-135141,566382
井原線,備中呉妹,-566303,-135542,569225
井原線,小田,-577382,-136596,580316
井原線,矢掛,-572825,-134282,575426
井原線,湯野,-592049,-141602,595639
井原線,子守唄の里高屋,-587580,-138663,590719
井原線,三谷,-570213,-135880,573134
井原線,井原,-584215,-137644,587227
井原線,早雲の里荏原,-580629,-137434,583660
井原線,川辺宿,-561339,-134642,564180
大社線,川跡,-641573,-44151,635567
大社線,遥堪,-646185,-44481,640184
大社線,高浜,-644313,-44448,638312
大社線,浜山公園北口,-647839,-44378,641837
大社線,出雲大社前,-649670,-43776,643659
北松江線,旅伏,-638593,-41452,632554
北松江線,伊野灘,-629720,-37605,623651
北松江線,松江フォーゲルパーク,-625718,-36360,619645
北松江線,園,-632740,-37963,626673
北松江線,湖遊館新,-633312,-38308,627247
北松江線,川跡,-641573,-44151,635567
北松江線,朝日ヶ丘,-621653,-35974,615579
北松江線,長江,-622895,-36006,616821
北松江線,布崎,-633981,-38534,627917
北松江線,松江しんじ湖温泉,-616528,-37874,610461
北松江線,大津町,-641970,-47034,636014
北松江線,高ノ宮,-626949,-36621,620877
北松江線,松江イングリッシュガーデン前,-620215,-36471,614143
北松江線,武志,-641916,-44925,635922
北松江線,美談,-639459,-42356,633429
北松江線,雲州平田,-636974,-40325,630923
北松江線,出雲科学館パークタウン前,-642730,-47654,636786
北松江線,大寺,-640495,-43191,634476
北松江線,秋鹿町,-624515,-36185,618441
北松江線,一畑口,-631335,-37116,625264
北松江線,津ノ森,-628027,-37154,621957
北松江線,電鉄出雲市,-643539,-47810,637598
鞍馬線,木野,-370085,-95516,369050
鞍馬線,市原,-371239,-93571,369873
鞍馬線,八幡前,-368655,-96122,367740
鞍馬線,岩倉,-369185,-95540,368166
鞍馬線,京都精華大前,-370773,-95270,369687
鞍馬線,宝ヶ池,-368704,-97018,367938
鞍馬線,鞍馬,-370287,-90859,368510
鞍馬線,二軒茶屋,-371032,-94706,369852
鞍馬線,二ノ瀬,-371202,-92520,369671
鞍馬線,貴船口,-371106,-91605,369434
叡山本線,修学院,-368924,-97909,368307
叡山本線,八瀬比叡山口,-367209,-96297,366343
叡山本線,一乗寺,-369203,-98523,368688
叡山本線,出町柳,-370540,-99965,370256
叡山本線,茶山,-369492,-99177,369086
叡山本線,三宅八幡,-368331,-96557,367493
叡山本線,元田中,-369783,-99541,369436
叡山本線,宝ヶ池,-368690,-97019,367925
鉄道線,遠州小松,-188128,-132946,206853
鉄道線,上島,-191181,-137622,211777
鉄道線,浜北,-187517,-132172,205949
鉄道線,遠州芝本,-186125,-128568,203033
鉄道線,自動車学校前,-190611,-136962,210959
鉄道線,八幡,-192115,-140320,213913
鉄道線,遠州病院,-192364,-141034,214483
鉄道線,遠州岩水寺,-185883,-127429,202294
鉄道線,新浜松,-192470,-141828,214969
鉄道線,さぎの宮,-190069,-135899,209970
鉄道線,積志,-189486,-134712,208889
鉄道線,美薗中央公園,-187006,-131424,205145
鉄道線,遠州西ヶ崎,-188506,-133767,207576
鉄道線,遠州小林,-186453,-130305,204131
鉄道線,助信,-191873,-139600,213348
鉄道線,曳馬,-191576,-138539,212569
鉄道線,第一通り,-192424,-141369,214701
鉄道線,西鹿島,-185232,-126067,201093
みなとみらい21線,みなとみらい,-18232,-60148,28170
みなとみらい21線,元町・中華街,-16576,-61856,29082
みなとみらい21線,新高島,-18774,-59672,27983
みなとみらい21線,馬車道,-17895,-60992,28793
みなとみらい21線,日本大通り,-17303,-61357,28891
みなとみらい21線,横浜,-19148,-59174,27715
1号線,吉野町,-19508,-62621,30951
1号線,阪東橋,-18901,-62372,30467
1号線,港南中央,-21991,-66402,35440
1号線,伊勢佐木長者町,-18208,-61999,29840
1号線,上大岡,-21556,-65518,34455
1号線,弘明寺,-21007,-63992,32846
1号線,蒔田,-20230,-63180,31770
1号線,関内,-17912,-61469,29236
1号線,湘南台,-33356,-66920,42190
1号線,踊場,-28602,-65891,38445
1号線,舞岡,-25620,-66247,37080
1号線,上永谷,-23665,-66382,36205
1号線,下永谷,-24913,-66224,36692
1号線,中田,-29254,-65280,38342
1号線,立場,-30208,-64919,38644
1号線,戸塚,-27108,-66403,38015
1号線,下飯田,-31830,-66134,40610
3号線,仲町台,-22109,-51526,23216
3号線,高島町,-19032,-60033,28422
3号線,北新横浜,-19997,-53317,23218
3号線,三ツ沢上町,-20679,-58063,27521
3号線,新羽,-20069,-52417,22548
