station,x,y,tokyo
都立大学,-14212,-42386,11168
馬込,-11007,-44765,11175
長原,-12264,-44121,11242
永福町,-17259,-35904,11244
駒沢大学,-15611,-40699,11246
谷在家,-5715,-23443,11299
大森海岸,-8880,-45751,11365
豪徳寺,-16862,-38400,11393
大森,-9531,-45602,11401
赤羽岩淵,-10054,-24030,11422
山下,-16921,-38349,11432
氷川台,-15181,-27765,11468
下高井戸,-17319,-37026,11475
亀有,1285,-25900,11500
世田谷,-16526,-39536,11500
大岡山,-13462,-43571,11516
京成高砂,3007,-27639,11526
練馬,-16169,-29128,11547
都立家政,-16999,-30805,11610
北綾瀬,-111,-24753,11629
東京ディズニーランド･ステーション,4085,-40400,11632
松原,-17332,-37682,11636
小岩,4388,-29584,11663
浦安,5423,-37064,11731
上板橋,-14208,-26214,11780
流通センター,-7626,-46432,11798
宮の坂,-17061,-39086,11816
洗足池,-12903,-44404,11835
志村坂上,-12530,-24805,11845
上町,-16930,-39526,11864
西永福,-17938,-35609,11895
南阿佐ヶ谷,-17896,-33325,11905
緑が丘,-13969,-43648,11905
ベイサイド･ステーション,3895,-41286,11929
瑞江,5835,-34014,11932
阿佐ヶ谷,-17869,-32724,11965
六町,-1042,-23877,11968
舞浜,4563,-40364,12035
鷺ノ宮,-17504,-30756,12102
竹ノ塚,-3851,-22812,12129
舎人公園,-5713,-22557,12184
リゾートゲートウェイ･ステーション,4674,-40481,12188
豊島園,-16654,-28651,12204
京成小岩,4547,-28598,12268
西馬込,-11510,-45778,12306
平和島,-8916,-46737,12332
経堂,-17807,-38680,12377
北赤羽,-11530,-23623,12380
桜上水,-18275,-36854,12382
石川台,-13432,-44715,12398
志村三丁目,-13332,-24679,12402
南行徳,6241,-36306,12415
自由が丘,-14891,-43544,12462
新柴又,4204,-27585,12522
奥沢,-14580,-43928,12522
柴又,3793,-27022,12526
桜新町,-17015,-40842,12528
浜田山,-18624,-35308,12562
篠崎,6384,-32602,12640
平和台,-16189,-26883,12805
中村橋,-17743,-29197,12916
東京ディズニーシー･ステーション,5086,-41354,12975
川口元郷,-9342,-22175,12979
昭和島,-7561,-47633,12982
江戸川,5646,-29081,13014
雪が谷大塚,-13792,-45258,13048
東武練馬,-15442,-25653,13048
大森町,-9183,-47423,13062
京成金町,3346,-25688,13063
上北沢,-19003,-36719,13080
九品仏,-15612,-43767,13134
金町,3350,-25571,13147
舎人,-5711,-21552,13189
荻窪,-19282,-32771,13352
蓮根,-13946,-23947,13355
田園調布,-15045,-44665,13381
行徳,7318,-35208,13401
浮間舟渡,-12829,-23146,13415
練馬春日町,-17415,-27568,13416
下井草,-18871,-30615,13443
尾山台,-16236,-43593,13479
富士見台,-18409,-29287,13484
川口,-10470,-21981,13491
千歳船橋,-18907,-39068,13544
国府台,6350,-29252,13581
御嶽山,-13679,-46006,13595
市川,6769,-30078,13663
高井戸,-19741,-35118,13671
用賀,-18034,-41407,13693
梅屋敷,-9532,-48057,13761
等々力,-16794,-43433,13803
八幡山,-19812,-36581,13860
新浦安,7171,-38880,13879
多摩川,-14919,-45513,13941
西台,-14522,-23610,13969
久が原,-13382,-46646,13973
池上,-11829,-47482,13983
市川真間,7095,-29811,14061
見沼代親水公園,-5659,-20567,14176
上野毛,-17611,-43031,14208
井荻,-19696,-30525,14257
妙典,8231,-34276,14314
沼部,-14515,-46308,14322
千鳥町,-12862,-47363,14335
下赤塚,-17041,-25447,14372
富士見ヶ丘,-20468,-34944,14394
